env,step,row,release_row,pinned,released,reward,r_contact,r_hold,r_bonus,r_act,r_cross,cross,cross_any,c_plate,c_sponge,dp_plate_cm,dr_plate_deg,dp_sponge_cm,dr_sponge_deg,within,plate_ok,sponge_ok,cert,cert_run,new_cert,dropped,drop_plate,drop_sponge,new_drop,success,done,act_abs_mean,res_arm_max_rad,res_fin_max_rad,F_L_thumb,F_L_index,F_L_middle,F_L_ring,F_L_pinky,F_R_thumb,F_R_index,F_R_middle,F_R_ring,F_R_pinky,gapL_idx_mid_cm,gapL_mid_ring_cm,gapL_ring_pinky_cm,d3L_idx_mid_cm,d3L_mid_ring_cm,d3L_ring_pinky_cm,gapR_idx_mid_cm,gapR_mid_ring_cm,gapR_ring_pinky_cm,d3R_idx_mid_cm,d3R_mid_ring_cm,d3R_ring_pinky_cm
0,5,6,31,1,0.0,0.2599644,0.26,0.0,0.0,-3.5572473e-05,-0.0,0.0,0.0,2.0,0.6,0.040831782,0.5814803,0.15083633,1.5364258,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.15722834,0.008764918,0.09446585,5.9616733,2.4140372,6.303973,0.0,5.3557777,3.433624,0.0,1.641455,4.890908,0.0,1.9512378,2.2543993,3.5304692,1.954436,2.4602485,3.984293,2.044914,3.0106776,2.097357,2.350113,3.0200255,2.707036
1,5,6,33,1,0.0,0.25996426,0.26,0.0,0.0,-3.5744783e-05,-0.0,0.0,0.0,2.0,0.6,0.028815078,0.3262588,0.16006638,1.6139419,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.15748978,0.008731426,0.09459719,7.0115833,4.3156867,4.867857,0.0,6.5881977,3.0463922,0.0,1.4599854,4.2700887,0.0,1.9404311,2.2654195,3.5380337,1.9437723,2.4633555,4.0009146,2.0483718,2.9979422,2.1032705,2.3535137,3.007741,2.7197957
2,5,6,33,1,0.0,0.2799654,0.28,0.0,0.0,-3.460849e-05,-0.0,0.0,0.0,2.0,0.8,0.025969712,0.33102196,0.0686793,1.0024819,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.15502472,0.0087430645,0.09426465,7.755862,5.914622,1.9671111,0.0,7.177857,9.445763,3.1872592,4.8645067,6.006142,0.0,1.8962864,2.2822797,3.5355682,1.899163,2.4797478,3.9977438,2.0545774,3.0039213,2.1058342,2.336016,3.011488,2.7300909
3,5,6,32,1,0.0,0.25996527,0.26,0.0,0.0,-3.4711e-05,-0.0,0.0,0.0,2.0,0.6,0.028959697,0.24708138,0.1638401,1.716412,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.15606917,0.0087012,0.094508715,7.0412683,4.2905107,8.188707,0.0,5.7545724,1.9021728,0.0,1.4559351,4.284403,0.0,1.8986274,2.2898846,3.5412617,1.9028862,2.4858286,4.0086293,2.046589,2.9967704,2.1054819,2.351903,3.0070949,2.7179093
0,6,7,31,1,0.0,0.27996862,0.28,0.0,0.0,-3.138277e-05,-0.0,0.0,0.0,2.0,0.8,0.05103691,0.75380975,0.030054536,0.34034836,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.14932199,0.009652119,0.10503358,7.0101967,3.9417212,5.182308,0.0,6.03554,7.648417,0.5677244,3.0184543,5.1748314,0.0,1.9369293,2.2804036,3.4869041,1.9420835,2.4994144,3.9623492,1.9990593,3.060601,2.110613,2.2866278,3.0671754,2.8491092
1,6,7,33,1,0.0,0.27997017,0.28,0.0,0.0,-2.9828745e-05,-0.0,0.0,0.0,2.0,0.8,0.029301224,0.2825484,0.041568283,0.344917,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.14623001,0.00958229,0.104706205,7.381066,4.5632772,9.897735,0.112684935,6.283221,7.11142,0.6421241,2.9561546,5.5347166,0.0,1.8673967,2.3156867,3.4965682,1.8746508,2.5258338,3.9848971,2.0021312,3.0656054,2.1040938,2.285567,3.0725927,2.8452826
2,6,7,33,1,0.0,0.2599673,0.26,0.0,0.0,-3.2683427e-05,-0.0,0.0,0.0,2.0,0.6,0.02872589,0.28530505,0.07352999,0.61928594,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.15367238,0.009657293,0.1052942,8.817228,5.077605,7.9267015,0.04207005,6.4780116,6.0202456,0.39667925,2.3812268,5.4703407,0.0,1.8496268,2.321425,3.4943402,1.8554175,2.525657,3.984776,2.017145,2.9884875,2.158139,2.3113618,2.997321,2.8813374
3,6,7,32,1,0.0,0.25996962,0.26,0.0,0.0,-3.0362547e-05,-0.0,0.0,0.0,2.0,0.6,0.027100379,0.3013157,0.0778313,0.5496506,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.14629944,0.009580991,0.10452259,7.7044926,5.1007404,5.9268355,0.119081445,6.463631,6.164686,0.21471961,2.0946684,4.863374,0.0,1.8438346,2.3349118,3.499129,1.8509097,2.541275,3.98244,2.0163834,2.9870093,2.1556005,2.3085947,2.995983,2.8846908
0,7,8,31,1,0.0,0.27997062,0.28,0.0,0.0,-2.9384997e-05,-0.0,0.0,0.0,2.0,0.8,0.060798705,0.7359469,0.026633501,0.31898075,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.14709266,0.010457294,0.11535265,9.512172,3.3042688,7.5079536,0.061814412,6.7806625,8.371907,0.6498523,3.3689005,6.783272,0.0,1.9438524,2.2932482,3.450901,1.9552069,2.5259626,3.9480488,1.9711964,3.037264,2.1722593,2.2550473,3.0452902,2.9988575
1,7,8,33,1,0.0,0.27997202,0.28,0.0,0.0,-2.798249e-05,-0.0,0.0,0.0,2.0,0.8,0.04922398,0.41871345,0.04788956,0.6501149,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.14199346,0.010330855,0.11408736,10.071755,5.320276,8.900737,0.24890041,7.9313254,8.369588,0.80492884,2.7111375,6.0867634,0.0,1.8277172,2.356143,3.4582477,1.8391058,2.5741887,3.967337,1.9766986,3.014359,2.1974535,2.2673965,3.0219789,2.999675
2,7,8,33,1,0.0,0.25997213,0.26,0.0,0.0,-2.7875016e-05,-0.0,0.0,0.0,2.0,0.6,0.042963244,0.395647,0.02289633,0.1046783,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1419248,0.010413343,0.114532,9.577345,7.672816,3.1333468,0.25397128,7.514745,6.969968,0.4430634,3.6694164,5.871383,0.0,1.8207997,2.3538146,3.4582186,1.829814,2.5641823,3.9664078,1.9933552,3.0113735,2.183775,2.272167,3.0195904,3.0055256
3,7,8,32,1,0.0,0.27997315,0.28,0.0,0.0,-2.6839922e-05,-0.0,0.0,0.0,2.0,0.8,0.039998792,0.4261249,0.025403561,0.265408,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.13986136,0.01033134,0.11411813,9.218515,6.0061946,6.2666774,0.17789377,7.500732,7.3418474,0.57794446,3.4151669,6.1295056,0.0,1.8266327,2.3632474,3.4618475,1.838183,2.5778408,3.9699066,1.9911885,3.005764,2.1892414,2.2712166,3.0138693,3.0103672
0,8,9,31,1,0.0,0.27997366,0.28,0.0,0.0,-2.633884e-05,-0.0,0.0,0.0,2.0,0.8,0.09680318,0.92025346,0.065035306,0.60780483,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.14049722,0.011134047,0.12464145,9.841751,5.6993012,8.040965,0.29389137,7.570838,8.829514,0.78086954,3.8550928,7.2342286,0.0,1.93398,2.3032744,3.4197216,1.9531857,2.5460434,3.9421308,1.9451387,2.9984415,2.2683136,2.225147,3.0073264,3.1342604
1,8,9,33,1,0.0,0.2799765,0.28,0.0,0.0,-2.3514129e-05,-0.0,0.0,0.0,2.0,0.8,0.047399145,0.46309304,0.09099885,0.89349854,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.13160056,0.010920544,0.1222164,11.595736,6.8638687,9.849993,0.35416603,6.681547,9.3958025,1.2403164,3.0912802,6.5302258,0.0,1.750413,2.3995824,3.4202423,1.7707461,2.6252177,3.9507303,1.950404,2.9918215,2.2789695,2.2395759,3.0008535,3.134887
2,8,9,33,1,0.0,0.27997777,0.28,0.0,0.0,-2.2244027e-05,-0.0,0.0,0.0,2.0,0.8,0.047524307,0.4334096,0.07089334,0.58416617,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.12878802,0.011024715,0.12292957,12.642365,9.92832,7.215081,0.6680947,8.664245,7.7491684,0.7610283,2.6366389,6.2154393,0.0,1.7749716,2.3928068,3.4286487,1.7864933,2.5975785,3.9708138,1.9470536,2.9673853,2.288864,2.2284827,2.9769127,3.148102
3,8,9,32,1,0.0,0.2799759,0.28,0.0,0.0,-2.410587e-05,-0.0,0.0,0.0,2.0,0.8,0.036705334,0.38154814,0.06298152,0.4441127,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.13440841,0.010982253,0.12280376,12.269269,9.8210745,4.086443,0.42008808,8.681005,8.422195,1.1971165,2.7867637,6.408144,0.0,1.755099,2.4214878,3.4316752,1.7699383,2.6341372,3.971186,1.9639708,2.9605992,2.2890024,2.2471337,2.9703248,3.1555665
0,9,10,31,1,0.0,0.27997756,0.28,0.0,0.0,-2.2431159e-05,-0.0,0.0,0.0,2.0,0.8,0.067246884,0.56786054,0.13031584,1.2284238,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.13089599,0.0118156485,0.13274637,12.11029,8.704377,12.607248,0.74889153,8.130296,9.121168,0.755793,3.9430735,10.0149555,0.0,1.8149323,2.3839393,3.3906012,1.8424947,2.6215034,3.9436872,1.9177451,2.9605963,2.3605301,2.2020802,2.9712179,3.284826
1,9,10,33,1,0.0,0.27997878,0.28,0.0,0.0,-2.1208381e-05,-0.0,0.0,0.0,2.0,0.8,0.039143175,0.37114978,0.13492689,1.4466926,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.12608775,0.011646447,0.1295698,11.549143,11.2718725,5.360488,0.43201008,10.204999,9.880318,1.9295728,4.534291,12.334069,0.0,1.7012789,2.4421434,3.3951056,1.7197665,2.657832,3.9595182,1.928296,2.9735372,2.3569956,2.2237637,2.9824483,3.268628
2,9,10,33,1,0.0,0.27997896,0.28,0.0,0.0,-2.1051332e-05,-0.0,0.0,0.0,2.0,0.8,0.036096606,0.29073992,0.12861376,1.0102593,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.12667136,0.011702495,0.13027759,14.179761,11.754706,6.395894,0.5893333,8.579956,7.753935,1.652548,3.9598603,10.408755,0.0,1.6875197,2.453725,3.3983066,1.7082363,2.6563606,3.9629166,1.9305818,2.9383652,2.3708768,2.2157779,2.9495933,3.2845654
3,9,10,32,1,0.0,0.27998006,0.28,0.0,0.0,-1.9923355e-05,-0.0,0.0,0.0,2.0,0.8,0.037305348,0.33102196,0.11137929,1.0032624,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.123066716,0.011628828,0.13016927,12.948523,9.317708,6.9900413,0.45287147,7.8489847,8.438801,0.73144656,3.780916,8.379949,0.0,1.7110639,2.445542,3.3973613,1.7329663,2.6592798,3.9604466,1.9187145,2.9172375,2.3872488,2.1982422,2.9282517,3.2926667
0,10,11,31,1,0.0,0.27997905,0.28,0.0,0.0,-2.0964035e-05,-0.0,0.0,0.0,2.0,0.8,0.051360816,0.39167053,0.17917056,1.6971512,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.12541555,0.012635788,0.14005412,14.124632,11.723642,3.602721,0.7397784,10.041112,9.82665,0.6308874,4.3769774,10.847319,0.0,1.7523166,2.4455838,3.3689828,1.7775522,2.6703436,3.9471548,1.8817939,2.9369779,2.4475753,2.1648939,2.9475214,3.4195375
1,10,11,33,1,0.0,0.2799799,0.28,0.0,0.0,-2.0090494e-05,-0.0,0.0,0.0,2.0,0.8,0.04437818,0.27976462,0.16613978,1.8208544,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.12317047,0.012526549,0.13667442,12.4878025,10.250372,12.432161,0.9846931,8.506806,9.104617,1.8623548,4.632315,11.464561,0.0,1.6589448,2.4854944,3.3661206,1.6941568,2.699034,3.9471264,1.9027345,2.9837892,2.4101257,2.194807,2.9926736,3.3687894
2,10,11,33,1,0.0,0.2799807,0.28,0.0,0.0,-1.9317735e-05,-0.0,0.0,0.0,2.0,0.8,0.01994073,0.23069976,0.16563839,1.5379533,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.120777525,0.012539728,0.13718411,13.525661,12.179954,8.989794,0.69742316,7.6040764,7.468519,1.4704947,3.9566743,10.447438,0.0,1.6580843,2.4783802,3.3703594,1.686228,2.6865053,3.95368,1.904241,2.90339,2.4607368,2.1936033,2.9148843,3.427742
3,10,11,32,1,0.0,0.27998072,0.28,0.0,0.0,-1.9288555e-05,-0.0,0.0,0.0,2.0,0.8,0.054215536,0.37949124,0.1625428,1.5399877,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.12056841,0.012448803,0.13688008,12.666256,11.164024,8.584987,0.7417422,8.422535,7.6352544,1.5656368,3.527822,10.392064,0.0,1.6737703,2.4773252,3.370746,1.701943,2.6882832,3.9574735,1.9042001,2.8918126,2.462258,2.1924064,2.9031358,3.4265258
0,11,12,31,1,0.0,0.27998087,0.28,0.0,0.0,-1.9133802e-05,-0.0,0.0,0.0,2.0,0.8,0.024653874,0.2017411,0.19502145,2.149308,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.12001998,0.013468058,0.14710632,12.524453,9.27793,6.086577,0.9536879,7.7670283,8.268428,1.0636331,2.9099858,9.9579,0.0,1.752292,2.457922,3.344987,1.7821531,2.6858633,3.9421632,1.8629514,2.9021993,2.5112681,2.1530795,2.9126253,3.5234318
1,11,12,33,1,0.0,0.27997926,0.28,0.0,0.0,-2.0746931e-05,-0.0,0.0,0.0,2.0,0.8,0.030010203,0.24708138,0.19549412,2.1006868,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.123786725,0.0133992145,0.14344847,14.120466,11.907036,6.9213367,0.6907805,7.8263936,9.108038,1.5454396,3.8779728,9.458096,0.0,1.6472827,2.49759,3.3486724,1.6801642,2.7136133,3.9510553,1.8754088,2.9762247,2.457557,2.164734,2.9851534,3.4483426
